"C24010_001E","C24010_001M","C24010_002E","C24010_002M","C24010_003E","C24010_003M","C24010_004E","C24010_004M","C24010_005E","C24010_005M","C24010_006E","C24010_006M","C24010_007E","C24010_007M","C24010_008E","C24010_008M","C24010_009E","C24010_009M","C24010_010E","C24010_010M","C24010_011E","C24010_011M","C24010_012E","C24010_012M","C24010_013E","C24010_013M","C24010_014E","C24010_014M","C24010_015E","C24010_015M","C24010_016E","C24010_016M","C24010_017E","C24010_017M","C24010_018E","C24010_018M","C24010_019E","C24010_019M","C24010_020E","C24010_020M","C24010_021E","C24010_021M","C24010_022E","C24010_022M","C24010_023E","C24010_023M","C24010_024E","C24010_024M","C24010_025E","C24010_025M","C24010_026E","C24010_026M","C24010_027E","C24010_027M","C24010_028E","C24010_028M","C24010_029E","C24010_029M","C24010_030E","C24010_030M","C24010_031E","C24010_031M","C24010_032E","C24010_032M","C24010_033E","C24010_033M","C24010_034E","C24010_034M","C24010_035E","C24010_035M","C24010_036E","C24010_036M","C24010_037E","C24010_037M","C24010_038E","C24010_038M","C24010_039E","C24010_039M","C24010_040E","C24010_040M","C24010_041E","C24010_041M","C24010_042E","C24010_042M","C24010_043E","C24010_043M","C24010_044E","C24010_044M","C24010_045E","C24010_045M","C24010_046E","C24010_046M","C24010_047E","C24010_047M","C24010_048E","C24010_048M","C24010_049E","C24010_049M","C24010_050E","C24010_050M","C24010_051E","C24010_051M","C24010_052E","C24010_052M","C24010_053E","C24010_053M","C24010_054E","C24010_054M","C24010_055E","C24010_055M","C24010_056E","C24010_056M","C24010_057E","C24010_057M","C24010_058E","C24010_058M","C24010_059E","C24010_059M","C24010_060E","C24010_060M","C24010_061E","C24010_061M","C24010_062E","C24010_062M","C24010_063E","C24010_063M","C24010_064E","C24010_064M","C24010_065E","C24010_065M","C24010_066E","C24010_066M","C24010_067E","C24010_067M","C24010_068E","C24010_068M","C24010_069E","C24010_069M","C24010_070E","C24010_070M","C24010_071E","C24010_071M","C24010_072E","C24010_072M","C24010_073E","C24010_073M","GEO_ID","NAME"
"760","289","442","197","26","52","26","52","26","52","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","203","151","0","12","0","12","0","12","0","12","19","30","184","146","0","12","81","63","27","33","54","54","79","124","79","124","0","12","0","12","53","60","0","12","53","60","0","12","318","147","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","102","113","0","12","0","12","0","12","0","12","0","12","102","113","0","12","216","121","29","47","187","112","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US530530715032","Block Group 2, Census Tract 715.03, Pierce County, Washington"
"341","191","153","98","28","32","11","18","11","18","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","17","28","17","28","0","12","27","33","0","12","13","24","13","24","0","12","0","12","14","22","0","12","26","42","0","12","26","42","8","15","0","12","0","12","8","15","64","78","0","12","0","12","64","78","188","113","45","48","0","12","0","12","0","12","25","40","0","12","0","12","25","40","7","12","0","12","7","12","0","12","0","12","13","23","13","23","0","12","19","33","0","12","0","12","0","12","0","12","0","12","0","12","19","33","124","100","64","78","60","66","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US530530715033","Block Group 3, Census Tract 715.03, Pierce County, Washington"
"662","269","342","144","114","67","72","69","48","50","24","46","33","40","23","35","0","12","10","19","9","14","0","12","0","12","9","14","0","12","0","12","0","12","0","12","56","53","0","12","48","47","36","43","12","18","8","19","0","12","0","12","45","41","35","43","10","17","30","39","0","12","7","12","23","38","97","82","9","15","56","56","32","43","320","146","102","64","74","61","52","64","22","34","10","18","0","12","10","18","0","12","8","14","0","12","0","12","8","14","0","12","10","15","10","15","0","12","81","72","0","12","0","12","0","12","0","12","23","36","55","64","3","14","137","110","7","12","130","109","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US530530715034","Block Group 4, Census Tract 715.03, Pierce County, Washington"
"629","162","308","100","60","49","31","33","25","31","6","10","0","12","0","12","0","12","0","12","17","18","0","12","0","12","9","13","8","12","12","21","12","21","0","12","72","67","4","11","0","12","0","12","0","12","24","31","33","53","11","20","33","50","2","19","31","38","31","35","0","12","31","35","0","12","112","69","58","51","54","50","0","12","321","106","90","55","29","31","10","15","19","30","0","12","0","12","0","12","0","12","41","42","0","12","0","12","35","42","6","10","20","23","0","12","20","23","71","48","9","15","0","12","0","12","0","12","28","29","0","12","34","33","160","102","42","43","118","75","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US530530715041","Block Group 1, Census Tract 715.04, Pierce County, Washington"
"999","201","285","95","98","58","17","18","17","18","0","12","55","49","31","30","0","12","24","38","26","24","0","12","0","12","26","24","0","12","0","12","0","12","0","12","69","41","0","12","22","22","22","22","0","12","27","23","7","14","13","21","38","34","0","12","38","34","13","14","0","12","13","14","0","12","67","56","55","53","0","12","12","21","714","140","219","74","22","24","6","10","16","23","12","14","4","8","0","12","8","12","170","74","31","31","0","12","110","58","29","41","15","18","15","18","0","12","249","80","43","47","10","15","10","15","0","12","96","38","5","9","95","46","239","83","71","47","168","71","0","12","0","12","0","12","0","12","7","13","7","13","0","12","0","12","1500000US530530715042","Block Group 2, Census Tract 715.04, Pierce County, Washington"
"248","88","89","38","13","21","0","12","0","12","0","12","0","12","0","12","0","12","0","12","13","21","0","12","0","12","13","21","0","12","0","12","0","12","0","12","2","5","0","12","0","12","0","12","0","12","0","12","0","12","2","5","6","10","0","12","6","10","21","19","0","12","7","11","14","16","47","30","17","22","18","23","12","21","159","60","46","39","9","15","9","15","0","12","5","9","0","12","5","9","0","12","12","14","8","12","0","12","4","8","0","12","20","30","0","12","20","30","15","17","0","12","0","12","0","12","0","12","6","12","0","12","9","13","61","42","25","41","36","38","0","12","0","12","0","12","0","12","37","34","37","34","0","12","0","12","1500000US530530715043","Block Group 3, Census Tract 715.04, Pierce County, Washington"
"549","167","316","109","66","61","2","5","2","5","0","12","50","58","11","11","39","57","0","12","14","20","0","12","0","12","14","20","0","12","0","12","0","12","0","12","78","52","0","12","21","23","21","23","0","12","12","14","29","40","16","21","11","15","5","10","6","12","22","22","0","12","14","18","8","14","139","74","88","70","51","79","0","12","233","109","72","53","6","12","6","12","0","12","0","12","0","12","0","12","0","12","41","33","15","29","0","12","26","25","0","12","25","40","0","12","25","40","88","66","0","12","9","15","9","15","0","12","16","16","0","12","63","64","61","43","14","17","47","34","0","12","0","12","0","12","0","12","12","19","12","19","0","12","0","12","1500000US530530715044","Block Group 4, Census Tract 715.04, Pierce County, Washington"
"764","175","429","117","108","66","52","52","14","25","38","45","48","37","48","37","0","12","0","12","8","13","8","13","0","12","0","12","0","12","0","12","0","12","0","12","95","59","0","12","0","12","0","12","0","12","50","55","45","33","0","12","34","33","8","15","26","28","36","26","0","12","9","14","27","22","156","73","133","66","0","12","23","26","335","98","75","42","23","18","16","18","7","12","18","28","18","28","0","12","0","12","27","28","14","22","0","12","13","16","0","12","7","12","0","12","7","12","137","77","25","20","0","12","0","12","0","12","61","55","0","12","51","46","76","50","11","17","65","41","9","14","0","12","0","12","9","14","38","46","38","46","0","12","0","12","1500000US530530715051","Block Group 1, Census Tract 715.05, Pierce County, Washington"
"442","152","244","81","52","42","25","29","25","29","0","12","10","15","0","12","10","15","0","12","17","28","0","12","0","12","17","28","0","12","0","12","0","12","0","12","9","17","0","12","9","17","9","17","0","12","0","12","0","12","0","12","47","40","28","34","19","21","76","52","0","12","24","20","52","47","60","47","46","42","14","22","0","12","198","88","62","40","10","16","10","16","0","12","0","12","0","12","0","12","0","12","43","37","0","12","0","12","34","34","9","16","9","15","9","15","0","12","43","36","0","12","0","12","0","12","0","12","8","12","0","12","35","38","70","56","61","53","9","18","15","23","0","12","0","12","15","23","8","14","8","14","0","12","0","12","1500000US530530715052","Block Group 2, Census Tract 715.05, Pierce County, Washington"
"438","152","250","86","46","42","0","12","0","12","0","12","39","40","39","40","0","12","0","12","7","13","0","12","0","12","0","12","7","13","0","12","0","12","0","12","44","35","0","12","9","13","9","13","0","12","0","12","11","17","24","33","59","45","59","45","0","12","54","56","0","12","22","36","32","41","47","36","19","20","8","13","20","29","188","88","68","38","6","11","6","11","0","12","0","12","0","12","0","12","0","12","36","30","10","15","0","12","26","27","0","12","26","25","7","12","19","22","72","63","0","12","0","12","0","12","0","12","11","17","0","12","61","61","48","51","10","16","38","49","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US530530715053","Block Group 3, Census Tract 715.05, Pierce County, Washington"
"748","219","399","173","73","46","20","22","20","22","0","12","34","34","26","32","8","13","0","12","19","28","19","28","0","12","0","12","0","12","0","12","0","12","0","12","98","133","0","12","0","12","0","12","0","12","84","131","14","21","0","12","83","64","42","46","41","46","97","78","0","12","39","56","58","46","48","50","0","12","0","12","48","50","349","141","88","54","52","45","42","43","10","15","0","12","0","12","0","12","0","12","22","26","0","12","0","12","22","26","0","12","14","19","8","16","6","10","114","83","0","12","0","12","0","12","0","12","58","46","0","12","56","58","104","65","72","58","32","30","0","12","0","12","0","12","0","12","43","60","29","37","0","12","14","24","1500000US530530715054","Block Group 4, Census Tract 715.05, Pierce County, Washington"
"452","127","251","94","67","39","18","22","18","22","0","12","14","15","7","11","7","10","0","12","14","16","7","12","0","12","7","11","0","12","21","23","8","14","13","19","17","18","0","12","8","13","0","12","8","13","9","13","0","12","0","12","16","17","16","17","0","12","45","42","0","12","10","15","35","39","106","80","48","63","47","50","11","18","201","77","63","49","23","26","23","26","0","12","16","20","16","20","0","12","0","12","24","37","0","12","0","12","24","37","0","12","0","12","0","12","0","12","37","33","8","12","0","12","0","12","0","12","16","24","13","21","0","12","97","48","26","26","71","40","0","12","0","12","0","12","0","12","4","9","0","12","0","12","4","9","1500000US530530715061","Block Group 1, Census Tract 715.06, Pierce County, Washington"
"934","202","497","140","51","36","31","25","24","22","7","11","0","12","0","12","0","12","0","12","20","22","9","14","0","12","11","18","0","12","0","12","0","12","0","12","69","37","0","12","41","27","24","22","17","19","0","12","7","12","21","24","165","109","59","55","106","62","104","66","25","36","51","47","28","23","108","58","24","22","84","57","0","12","437","105","223","84","55","46","16","17","39","49","0","12","0","12","0","12","0","12","93","61","8","13","11","19","64","54","10","15","75","53","22","25","53","45","79","55","0","12","6","9","6","9","0","12","33","42","0","12","40","39","100","51","33","31","67","41","12","20","0","12","0","12","12","20","23","25","0","12","14","21","9","14","1500000US530530715062","Block Group 2, Census Tract 715.06, Pierce County, Washington"
"839","192","566","137","176","82","68","53","68","53","0","12","48","52","30","47","7","12","11","18","40","39","20","24","0","12","20","32","0","12","20","31","20","31","0","12","71","45","6","10","11","18","11","18","0","12","10","16","0","12","44","54","93","56","29","29","64","47","63","51","0","12","12","18","51","48","163","80","104","81","59","48","0","12","273","102","98","68","47","47","47","47","0","12","0","12","0","12","0","12","0","12","9","16","0","12","0","12","9","16","0","12","42","44","33","41","9","14","32","28","5","9","0","12","0","12","0","12","11","18","8","13","8","12","85","63","66","59","19","22","0","12","0","12","0","12","0","12","58","52","58","52","0","12","0","12","1500000US530530715063","Block Group 3, Census Tract 715.06, Pierce County, Washington"
"1302","232","677","175","108","60","0","12","0","12","0","12","19","21","19","21","0","12","0","12","74","50","54","46","0","12","20","22","0","12","15","23","0","12","15","23","169","174","41","71","0","12","0","12","0","12","8","13","63","52","57","96","58","40","34","34","24","18","182","96","0","12","122","88","60","66","160","82","76","52","34","39","50","52","625","185","168","67","9","14","9","14","0","12","12","17","12","17","0","12","0","12","71","54","10","15","0","12","36","36","25","40","76","42","76","42","0","12","163","81","8","15","9","15","9","15","0","12","33","33","44","46","69","60","170","98","123","92","47","34","23","28","23","28","0","12","0","12","101","65","29","38","19","28","53","39","1500000US530530716011","Block Group 1, Census Tract 716.01, Pierce County, Washington"
"580","128","297","75","109","59","63","44","50","39","13","18","9","13","0","12","9","13","0","12","37","44","0","12","0","12","9","13","28","43","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","84","54","17","22","67","51","41","31","2","4","12","18","27","26","63","31","32","25","23","17","8","15","283","80","106","62","47","48","7","11","40","47","0","12","0","12","0","12","0","12","42","36","0","12","0","12","42","36","0","12","17","24","0","12","17","24","43","29","9","15","0","12","0","12","0","12","16","17","0","12","18","19","134","64","38","38","96","52","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US530530716012","Block Group 2, Census Tract 716.01, Pierce County, Washington"
"995","257","493","189","151","92","29","34","29","34","0","12","16","28","0","12","16","28","0","12","48","61","13","21","0","12","35","57","0","12","58","61","14","22","44","57","27","30","0","12","0","12","0","12","0","12","15","23","0","12","12","19","168","110","106","87","62","65","84","80","0","12","73","79","11","19","63","72","52","69","0","12","11","17","502","158","179","81","70","50","12","19","58","46","0","12","0","12","0","12","0","12","85","65","14","23","0","12","57","54","14","22","24","28","0","12","24","28","115","71","27","44","0","12","0","12","0","12","49","39","16","25","23","36","208","120","100","90","108","84","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US530530716021","Block Group 1, Census Tract 716.02, Pierce County, Washington"
"600","158","254","122","43","41","29","34","12","21","17","28","0","12","0","12","0","12","0","12","14","22","14","22","0","12","0","12","0","12","0","12","0","12","0","12","37","47","0","12","0","12","0","12","0","12","37","47","0","12","0","12","43","50","12","20","31","47","66","79","0","12","66","79","0","12","65","67","15","27","13","21","37","59","346","114","89","71","12","19","12","19","0","12","0","12","0","12","0","12","0","12","39","38","0","12","0","12","39","38","0","12","38","57","0","12","38","57","136","81","34","34","0","12","0","12","0","12","24","38","43","63","35","34","106","75","46","58","60","45","0","12","0","12","0","12","0","12","15","24","0","12","0","12","15","24","1500000US530530716022","Block Group 2, Census Tract 716.02, Pierce County, Washington"
"1041","276","548","171","117","103","49","70","49","70","0","12","0","12","0","12","0","12","0","12","30","35","19","31","0","12","11","19","0","12","38","64","38","64","0","12","95","79","0","12","71","78","28","43","43","64","0","12","15","22","9","17","67","75","22","26","45","71","80","67","0","12","13","21","67","61","189","119","103","87","38","50","48","58","493","141","140","84","94","75","94","75","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","46","47","0","12","46","47","148","85","23","28","50","54","12","20","38","61","10","17","0","12","65","53","163","101","14","25","149","99","0","12","0","12","0","12","0","12","42","48","29","44","13","21","0","12","1500000US530530716023","Block Group 3, Census Tract 716.02, Pierce County, Washington"
"570","223","190","140","34","33","34","33","34","33","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","67","66","33","52","0","12","0","12","0","12","34","40","0","12","0","12","0","12","0","12","0","12","55","81","0","12","0","12","55","81","34","41","0","12","0","12","34","41","380","174","195","123","50","52","38","49","12","19","0","12","0","12","0","12","0","12","145","113","56","82","0","12","89","87","0","12","0","12","0","12","0","12","32","31","12","19","9","17","9","17","0","12","11","17","0","12","0","12","153","90","37","59","116","71","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US530530716024","Block Group 4, Census Tract 716.02, Pierce County, Washington"
"882","166","340","101","71","53","25","40","25","40","0","12","40","34","0","12","40","34","0","12","0","12","0","12","0","12","0","12","0","12","6","10","0","12","6","10","46","36","0","12","19","23","19","23","0","12","27","27","0","12","0","12","90","59","25","41","65","62","80","58","0","12","62","54","18","33","53","49","8","15","19","31","26","36","542","145","113","69","66","59","26","35","40","46","0","12","0","12","0","12","0","12","31","31","22","25","0","12","9","16","0","12","16","17","0","12","16","17","220","111","46","40","0","12","0","12","0","12","56","59","52","67","66","72","152","89","76","65","76","71","21","34","0","12","1","8","20","32","36","39","36","39","0","12","0","12","1500000US530530717031","Block Group 1, Census Tract 717.03, Pierce County, Washington"
"453","147","209","87","31","35","0","12","0","12","0","12","0","12","0","12","0","12","0","12","24","33","24","33","0","12","0","12","0","12","7","14","0","12","7","14","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","36","36","26","32","10","15","36","28","0","12","24","24","12","16","106","67","41","43","38","38","27","33","244","88","13","16","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","13","16","6","11","7","11","128","78","40","39","0","12","0","12","0","12","0","12","14","22","74","60","103","58","0","12","103","58","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US530530717032","Block Group 2, Census Tract 717.03, Pierce County, Washington"
"1192","290","806","244","20","23","0","12","0","12","0","12","7","11","0","12","0","12","7","11","0","12","0","12","0","12","0","12","0","12","13","19","13","19","0","12","230","105","7","12","8","14","8","14","0","12","69","60","78","64","68","60","77","61","44","45","33","47","387","201","43","50","320","188","24","37","92","68","39","38","28","33","25","44","386","118","30","29","0","12","0","12","0","12","0","12","0","12","0","12","0","12","30","29","8","14","0","12","15","22","7","13","0","12","0","12","0","12","256","85","37","41","0","12","0","12","0","12","52","45","79","49","88","69","77","58","43","42","34","39","23","37","23","37","0","12","0","12","0","12","0","12","0","12","0","12","1500000US530530717041","Block Group 1, Census Tract 717.04, Pierce County, Washington"
"527","144","268","111","23","25","0","12","0","12","0","12","0","12","0","12","0","12","0","12","14","21","0","12","0","12","0","12","14","21","9","13","0","12","9","13","36","33","0","12","8","12","8","12","0","12","0","12","25","30","3","5","92","59","56","46","36","38","90","72","0","12","50","58","40","38","27","31","16","27","11","17","0","12","259","77","46","42","39","41","27","39","12","19","0","12","0","12","0","12","0","12","7","11","7","11","0","12","0","12","0","12","0","12","0","12","0","12","94","58","14","20","0","12","0","12","0","12","25","31","21","32","34","32","110","48","26","29","84","45","9","15","0","12","0","12","9","15","0","12","0","12","0","12","0","12","1500000US530530717042","Block Group 2, Census Tract 717.04, Pierce County, Washington"
"366","110","154","76","46","37","21","26","21","26","0","12","16","26","16","26","0","12","0","12","0","12","0","12","0","12","0","12","0","12","9","13","0","12","9","13","40","48","0","12","0","12","0","12","0","12","10","15","30","46","0","12","28","28","21","25","7","12","33","33","0","12","0","12","33","33","7","12","0","12","0","12","7","12","212","81","16","16","0","12","0","12","0","12","0","12","0","12","0","12","0","12","11","14","6","10","0","12","0","12","5","10","5","9","0","12","5","9","126","50","29","35","0","12","0","12","0","12","76","47","6","11","15","23","70","59","17","26","53","54","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US530530717043","Block Group 3, Census Tract 717.04, Pierce County, Washington"
"488","159","298","143","22","24","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","22","24","10","15","12","18","33","33","0","12","0","12","0","12","0","12","21","32","5","11","7","11","0","12","0","12","0","12","192","141","17","21","66","53","109","131","51","35","25","30","24","23","2","8","190","69","39","29","12","15","12","15","0","12","8","12","8","12","0","12","0","12","8","13","0","12","0","12","8","13","0","12","11","17","11","17","0","12","35","34","0","12","0","12","0","12","0","12","1","7","10","18","24","27","96","55","65","47","31","27","0","12","0","12","0","12","0","12","20","22","11","16","9","14","0","12","1500000US530530717051","Block Group 1, Census Tract 717.05, Pierce County, Washington"
"586","217","365","163","64","50","54","47","44","44","10","17","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","10","16","0","12","10","16","69","61","0","12","28","29","28","29","0","12","8","13","33","49","0","12","31","29","10","16","21","24","112","58","0","12","33","30","79","52","89","69","6","9","30","22","53","61","221","92","78","54","10","15","0","12","10","15","0","12","0","12","0","12","0","12","58","52","29","45","0","12","29","27","0","12","10","17","0","12","10","17","69","51","19","30","0","12","0","12","0","12","11","17","0","12","39","36","60","46","0","12","60","46","5","9","5","9","0","12","0","12","9","14","9","14","0","12","0","12","1500000US530530717052","Block Group 2, Census Tract 717.05, Pierce County, Washington"
"457","149","196","87","45","48","36","46","36","46","0","12","0","12","0","12","0","12","0","12","9","15","0","12","0","12","9","15","0","12","0","12","0","12","0","12","21","32","0","12","21","32","21","32","0","12","0","12","0","12","0","12","8","14","8","14","0","12","51","37","0","12","18","29","33","24","71","62","21","23","50","57","0","12","261","86","65","49","34","30","21","25","13","15","23","36","23","36","0","12","0","12","0","12","0","12","0","12","0","12","0","12","8","12","0","12","8","12","87","61","0","12","15","25","15","25","0","12","24","26","36","49","12","18","90","65","10","15","80","58","0","12","0","12","0","12","0","12","19","22","9","14","0","12","10","16","1500000US530530717053","Block Group 3, Census Tract 717.05, Pierce County, Washington"
"797","147","428","91","70","45","38","34","29","33","9","13","6","10","6","10","0","12","0","12","8","13","0","12","0","12","0","12","8","13","18","26","0","12","18","26","76","44","5","10","0","12","0","12","0","12","25","27","46","31","0","12","48","42","46","42","2","4","60","31","0","12","19","22","41","32","174","71","34","26","92","78","48","35","369","97","39","30","22","21","13","15","9","15","0","12","0","12","0","12","0","12","7","8","4","6","3","5","0","12","0","12","10","18","0","12","10","18","144","82","40","49","19","21","0","12","19","21","55","51","6","10","24","28","155","86","97","62","58","44","0","12","0","12","0","12","0","12","31","33","0","12","5","8","26","31","1500000US530530717061","Block Group 1, Census Tract 717.06, Pierce County, Washington"
"524","160","243","101","28","25","0","12","0","12","0","12","0","12","0","12","0","12","0","12","28","25","12","18","0","12","0","12","16","17","0","12","0","12","0","12","34","37","0","12","14","21","14","21","0","12","20","30","0","12","0","12","88","60","74","58","14","16","54","36","0","12","23","24","31","32","39","41","4","9","8","14","27","40","281","84","91","42","29","27","6","11","23","25","11","12","6","10","0","12","5","9","51","32","20","18","0","12","31","29","0","12","0","12","0","12","0","12","63","45","8","13","0","12","0","12","0","12","38","38","0","12","17","19","109","56","63","45","46","33","18","29","0","12","0","12","18","29","0","12","0","12","0","12","0","12","1500000US530530717071","Block Group 1, Census Tract 717.07, Pierce County, Washington"
"350","104","188","71","32","33","16","18","8","13","8","13","9","16","9","16","0","12","0","12","7","11","7","11","0","12","0","12","0","12","0","12","0","12","0","12","53","49","0","12","10","16","10","16","0","12","30","46","13","18","0","12","8","12","8","12","0","12","36","36","0","12","31","36","5","8","59","37","21","20","21","23","17","21","162","69","42","22","15","17","8","13","7","11","13","17","10","16","3","7","0","12","14","17","0","12","0","12","14","17","0","12","0","12","0","12","0","12","83","53","24","22","0","12","0","12","0","12","50","46","9","14","0","12","11","14","4","6","7","11","0","12","0","12","0","12","0","12","26","30","0","12","0","12","26","30","1500000US530530717072","Block Group 2, Census Tract 717.07, Pierce County, Washington"
"413","113","210","73","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","30","32","0","12","0","12","0","12","0","12","20","21","10","16","0","12","79","55","43","36","36","42","24","28","0","12","0","12","24","28","77","45","38","33","12","14","27","28","203","87","33","35","15","23","15","23","0","12","18","24","18","24","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","54","56","21","33","0","12","0","12","0","12","5","7","0","12","28","27","66","40","0","12","66","40","0","12","0","12","0","12","0","12","50","39","50","39","0","12","0","12","1500000US530530717073","Block Group 3, Census Tract 717.07, Pierce County, Washington"
"697","277","360","211","131","104","45","52","45","52","0","12","15","24","15","24","0","12","0","12","8","14","0","12","0","12","8","14","0","12","63","84","63","84","0","12","80","96","0","12","0","12","0","12","0","12","0","12","80","96","0","12","15","24","0","12","15","24","31","35","0","12","0","12","31","35","103","127","87","121","0","12","16","25","337","122","131","91","24","31","0","12","24","31","0","12","0","12","0","12","0","12","41","37","0","12","0","12","16","24","25","29","66","75","49","71","17","20","32","38","32","38","0","12","0","12","0","12","0","12","0","12","0","12","163","110","86","79","77","73","0","12","0","12","0","12","0","12","11","22","0","12","11","22","0","12","1500000US530530718031","Block Group 1, Census Tract 718.03, Pierce County, Washington"
"1100","327","624","333","80","63","20","33","20","33","0","12","42","52","42","52","0","12","0","12","11","19","11","19","0","12","0","12","0","12","7","13","0","12","7","13","149","130","0","12","14","22","0","12","14","22","88","115","47","54","0","12","117","105","43","62","74","87","96","85","0","12","96","85","0","12","182","149","119","136","52","52","11","21","476","161","139","90","20","25","9","15","11","19","0","12","0","12","0","12","0","12","31","33","0","12","8","14","23","28","0","12","88","82","30","47","58","64","51","57","0","12","0","12","0","12","0","12","0","12","7","14","44","53","213","130","70","72","143","112","0","12","0","12","0","12","0","12","73","66","30","46","33","40","10","18","1500000US530530718032","Block Group 2, Census Tract 718.03, Pierce County, Washington"
"357","155","240","159","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","100","105","0","12","100","105","100","105","0","12","0","12","0","12","0","12","91","139","37","56","54","83","49","72","5","15","0","12","44","72","0","12","0","12","0","12","0","12","117","90","28","37","0","12","0","12","0","12","0","12","0","12","0","12","0","12","28","37","21","34","0","12","7","15","0","12","0","12","0","12","0","12","45","64","0","12","0","12","0","12","0","12","11","19","34","61","0","12","31","33","3","7","28","34","0","12","0","12","0","12","0","12","13","22","0","12","0","12","13","22","1500000US530530718033","Block Group 3, Census Tract 718.03, Pierce County, Washington"
"367","182","165","94","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","15","24","0","12","0","12","0","12","0","12","0","12","15","24","0","12","11","18","11","18","0","12","75","58","0","12","75","58","0","12","64","62","16","27","48","52","0","12","202","107","56","57","56","57","47","55","9","16","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","25","39","25","39","0","12","0","12","0","12","0","12","0","12","0","12","64","61","35","53","29","31","0","12","0","12","0","12","0","12","57","54","57","54","0","12","0","12","1500000US530530718034","Block Group 4, Census Tract 718.03, Pierce County, Washington"
"428","169","256","106","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","89","74","0","12","0","12","0","12","0","12","80","67","9","16","0","12","28","27","10","15","18","22","50","53","0","12","28","46","22","24","89","58","36","36","42","44","11","15","172","93","58","59","16","19","5","10","11","17","0","12","0","12","0","12","0","12","32","52","0","12","0","12","32","52","0","12","10","16","0","12","10","16","70","59","8","12","0","12","0","12","0","12","12","15","7","13","43","58","35","31","18","20","17","21","9","14","0","12","0","12","9","14","0","12","0","12","0","12","0","12","1500000US530530718051","Block Group 1, Census Tract 718.05, Pierce County, Washington"
"616","194","297","119","24","22","0","12","0","12","0","12","8","13","8","13","0","12","0","12","0","12","0","12","0","12","0","12","0","12","16","18","0","12","16","18","45","53","0","12","0","12","0","12","0","12","23","30","22","25","0","12","70","65","60","63","10","16","38","37","0","12","5","11","33","38","120","63","70","49","40","45","10","16","319","131","103","65","33","42","26","40","7","13","0","12","0","12","0","12","0","12","47","42","0","12","0","12","17","25","30","39","23","26","0","12","23","26","108","74","14","22","0","12","0","12","0","12","61","61","15","23","18","31","55","61","10","15","45","58","6","12","0","12","0","12","6","12","47","55","0","12","0","12","47","55","1500000US530530718052","Block Group 2, Census Tract 718.05, Pierce County, Washington"
"818","276","518","178","104","94","75","85","75","85","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","29","47","0","12","29","47","62","59","0","12","0","12","0","12","0","12","10","15","18","20","34","53","136","101","123","99","13","21","12","17","2","4","0","12","10","17","204","133","68","70","8","10","128","120","300","155","98","103","0","12","0","12","0","12","0","12","0","12","0","12","0","12","8","12","8","12","0","12","0","12","0","12","90","102","0","12","90","102","134","82","31","49","0","12","0","12","0","12","70","52","0","12","33","52","25","24","19","22","6","9","0","12","0","12","0","12","0","12","43","39","32","38","0","12","11","14","1500000US530530718053","Block Group 3, Census Tract 718.05, Pierce County, Washington"
