Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!White alone,Margin of Error!!Total!!White alone,Estimate!!Total!!Black or African American alone,Margin of Error!!Total!!Black or African American alone,Estimate!!Total!!American Indian and Alaska Native alone,Margin of Error!!Total!!American Indian and Alaska Native alone,Estimate!!Total!!Asian alone,Margin of Error!!Total!!Asian alone,Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone,Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Some other race alone,Margin of Error!!Total!!Some other race alone,Estimate!!Total!!Two or more races,Margin of Error!!Total!!Two or more races,Estimate!!Total!!Two or more races!!Two races including Some other race,Margin of Error!!Total!!Two or more races!!Two races including Some other race,"Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races",id,Geographic Area Name
856,203,800,199,0,12,0,12,0,12,0,12,13,25,43,70,0,12,43,70,1500000US530530719025,"Block Group 5, Census Tract 719.02, Pierce County, Washington"
1497,674,1021,636,59,56,0,12,33,40,0,12,305,412,79,85,0,12,79,85,1500000US530530720001,"Block Group 1, Census Tract 720, Pierce County, Washington"
1232,398,866,343,210,190,33,50,21,28,73,134,0,12,29,34,0,12,29,34,1500000US530530720002,"Block Group 2, Census Tract 720, Pierce County, Washington"
838,258,506,137,1,3,0,12,51,55,0,12,137,191,143,112,0,12,143,112,1500000US530530720003,"Block Group 3, Census Tract 720, Pierce County, Washington"
778,340,429,313,19,32,49,69,33,40,11,18,224,341,13,21,0,12,13,21,1500000US530530720004,"Block Group 4, Census Tract 720, Pierce County, Washington"
1217,185,672,149,95,78,11,17,323,102,0,12,0,12,116,70,0,12,116,70,1500000US530530721051,"Block Group 1, Census Tract 721.05, Pierce County, Washington"
1685,247,1261,202,100,85,7,11,155,68,8,13,0,12,154,92,0,12,154,92,1500000US530530721052,"Block Group 2, Census Tract 721.05, Pierce County, Washington"
710,355,475,241,122,80,26,31,55,48,0,12,7,17,25,41,0,12,25,41,1500000US530530721053,"Block Group 3, Census Tract 721.05, Pierce County, Washington"
1665,298,1118,189,115,75,0,12,238,109,13,19,32,49,149,96,41,62,108,83,1500000US530530721054,"Block Group 4, Census Tract 721.05, Pierce County, Washington"
890,260,686,231,76,81,0,12,38,43,0,12,45,71,45,56,32,54,13,21,1500000US530530721061,"Block Group 1, Census Tract 721.06, Pierce County, Washington"
1469,378,1123,333,0,12,116,143,147,90,0,12,0,12,83,90,0,12,83,90,1500000US530530721062,"Block Group 2, Census Tract 721.06, Pierce County, Washington"
2250,497,1453,355,366,255,11,18,103,81,28,47,0,12,289,116,0,12,289,116,1500000US530530721063,"Block Group 3, Census Tract 721.06, Pierce County, Washington"
1547,384,758,309,416,192,0,12,137,147,0,12,165,136,71,57,0,12,71,57,1500000US530530721064,"Block Group 4, Census Tract 721.06, Pierce County, Washington"
1146,214,851,180,73,50,0,12,50,50,0,12,57,66,115,98,0,12,115,98,1500000US530530721071,"Block Group 1, Census Tract 721.07, Pierce County, Washington"
1385,296,1113,271,63,56,0,12,92,81,0,12,38,38,79,93,0,12,79,93,1500000US530530721072,"Block Group 2, Census Tract 721.07, Pierce County, Washington"
932,186,559,154,90,86,0,12,135,118,0,12,14,21,134,116,0,12,134,116,1500000US530530721073,"Block Group 3, Census Tract 721.07, Pierce County, Washington"
717,224,486,139,46,50,0,12,68,77,0,12,117,166,0,12,0,12,0,12,1500000US530530721074,"Block Group 4, Census Tract 721.07, Pierce County, Washington"
896,415,447,291,143,174,0,12,182,144,0,12,0,12,124,109,0,12,124,109,1500000US530530721081,"Block Group 1, Census Tract 721.08, Pierce County, Washington"
811,290,483,224,85,86,39,52,53,46,106,159,18,29,27,31,0,12,27,31,1500000US530530721082,"Block Group 2, Census Tract 721.08, Pierce County, Washington"
676,303,502,208,31,163,0,12,43,50,0,12,0,12,100,97,51,85,49,50,1500000US530530721083,"Block Group 3, Census Tract 721.08, Pierce County, Washington"
2209,362,1720,363,214,154,62,95,45,70,92,119,0,12,76,84,0,12,76,84,1500000US530530721084,"Block Group 4, Census Tract 721.08, Pierce County, Washington"
1103,459,855,478,144,137,63,55,41,55,0,12,0,12,0,12,0,12,0,12,1500000US530530721085,"Block Group 5, Census Tract 721.08, Pierce County, Washington"
1551,265,1291,230,25,26,34,51,105,110,0,12,9,15,87,68,0,12,87,68,1500000US530530721091,"Block Group 1, Census Tract 721.09, Pierce County, Washington"
1864,288,1330,301,170,168,0,12,273,124,48,72,11,18,32,31,0,12,32,31,1500000US530530721092,"Block Group 2, Census Tract 721.09, Pierce County, Washington"
1679,371,1090,279,70,47,10,16,231,83,0,12,11,18,267,152,0,12,267,152,1500000US530530721111,"Block Group 1, Census Tract 721.11, Pierce County, Washington"
965,173,816,167,22,27,0,12,33,29,22,23,23,29,49,36,11,17,38,33,1500000US530530721112,"Block Group 2, Census Tract 721.11, Pierce County, Washington"
1968,310,1173,239,194,87,0,12,252,120,140,135,32,46,177,96,0,12,177,96,1500000US530530721121,"Block Group 1, Census Tract 721.12, Pierce County, Washington"
1225,222,729,170,133,93,10,16,31,29,152,131,72,99,98,72,32,44,66,53,1500000US530530721122,"Block Group 2, Census Tract 721.12, Pierce County, Washington"
1168,267,686,190,150,152,41,55,106,116,27,43,29,44,129,83,41,57,88,61,1500000US530530721123,"Block Group 3, Census Tract 721.12, Pierce County, Washington"
1299,288,909,277,75,100,7,17,136,153,20,25,0,12,152,115,0,12,152,115,1500000US530530723051,"Block Group 1, Census Tract 723.05, Pierce County, Washington"
804,323,730,325,20,31,37,35,17,26,0,12,0,12,0,12,0,12,0,12,1500000US530530723052,"Block Group 2, Census Tract 723.05, Pierce County, Washington"
1090,285,826,224,0,12,11,17,76,67,19,32,0,12,158,178,0,12,158,178,1500000US530530723053,"Block Group 3, Census Tract 723.05, Pierce County, Washington"
860,325,642,206,16,24,0,12,0,12,0,12,0,12,202,211,0,12,202,211,1500000US530530723054,"Block Group 4, Census Tract 723.05, Pierce County, Washington"
1402,313,1037,238,186,145,15,24,48,52,0,12,19,30,97,109,33,50,64,77,1500000US530530723055,"Block Group 5, Census Tract 723.05, Pierce County, Washington"
539,189,467,150,0,12,0,12,14,23,0,12,58,99,0,12,0,12,0,12,1500000US530530723056,"Block Group 6, Census Tract 723.05, Pierce County, Washington"
1849,289,1107,224,441,257,9,14,60,58,23,36,28,45,181,102,0,12,181,102,1500000US530530723071,"Block Group 1, Census Tract 723.07, Pierce County, Washington"
683,197,566,181,0,12,0,12,77,63,0,12,0,12,40,47,0,12,40,47,1500000US530530723072,"Block Group 2, Census Tract 723.07, Pierce County, Washington"
758,188,623,195,25,19,0,12,65,68,0,12,15,24,30,47,0,12,30,47,1500000US530530723073,"Block Group 3, Census Tract 723.07, Pierce County, Washington"
1189,336,820,244,156,215,0,12,170,142,0,12,0,12,43,43,0,12,43,43,1500000US530530723074,"Block Group 4, Census Tract 723.07, Pierce County, Washington"
1472,404,763,181,47,43,0,12,83,94,351,298,67,81,161,171,0,12,161,171,1500000US530530723081,"Block Group 1, Census Tract 723.08, Pierce County, Washington"
1719,291,1429,295,23,50,0,12,108,89,21,31,0,12,138,143,0,12,138,143,1500000US530530723082,"Block Group 2, Census Tract 723.08, Pierce County, Washington"
1266,378,878,277,122,139,0,12,137,142,0,12,34,52,95,76,0,12,95,76,1500000US530530723083,"Block Group 3, Census Tract 723.08, Pierce County, Washington"
1411,456,724,279,129,142,0,12,30,25,0,12,442,399,86,107,0,12,86,107,1500000US530530723084,"Block Group 4, Census Tract 723.08, Pierce County, Washington"
1670,374,1295,412,51,72,17,28,184,127,0,12,0,12,123,182,0,12,123,182,1500000US530530723085,"Block Group 5, Census Tract 723.08, Pierce County, Washington"
1606,391,1163,293,41,52,0,12,176,154,3,7,0,12,223,191,0,12,223,191,1500000US530530723091,"Block Group 1, Census Tract 723.09, Pierce County, Washington"
2235,561,1605,390,112,119,30,51,51,88,0,12,221,60,216,288,0,12,216,288,1500000US530530723092,"Block Group 2, Census Tract 723.09, Pierce County, Washington"
1211,362,996,293,14,25,46,60,27,40,0,12,0,12,128,138,0,12,128,138,1500000US530530723093,"Block Group 3, Census Tract 723.09, Pierce County, Washington"
820,263,759,256,21,33,0,12,40,65,0,12,0,12,0,12,0,12,0,12,1500000US530530723094,"Block Group 4, Census Tract 723.09, Pierce County, Washington"
1230,308,1141,333,31,33,0,12,9,15,0,12,39,63,10,19,0,12,10,19,1500000US530530723101,"Block Group 1, Census Tract 723.10, Pierce County, Washington"
568,182,463,151,21,22,11,17,10,17,0,12,0,12,63,56,0,12,63,56,1500000US530530723102,"Block Group 2, Census Tract 723.10, Pierce County, Washington"
1902,219,1411,227,125,82,59,52,107,80,0,12,10,18,190,102,0,12,190,102,1500000US530530723103,"Block Group 3, Census Tract 723.10, Pierce County, Washington"
1383,303,793,164,120,61,0,12,7,10,0,12,165,198,298,218,9,14,289,213,1500000US530530723111,"Block Group 1, Census Tract 723.11, Pierce County, Washington"
1135,260,487,142,347,176,32,42,72,102,0,12,70,100,127,104,0,12,127,104,1500000US530530723112,"Block Group 2, Census Tract 723.11, Pierce County, Washington"
1894,308,1134,232,267,227,17,28,249,177,0,12,30,38,197,184,30,48,167,176,1500000US530530723113,"Block Group 3, Census Tract 723.11, Pierce County, Washington"
2368,355,1499,338,98,117,0,12,616,192,0,12,0,12,155,128,0,12,155,128,1500000US530530723121,"Block Group 1, Census Tract 723.12, Pierce County, Washington"
1359,443,909,340,108,84,0,12,85,71,0,12,20,35,237,191,0,12,237,191,1500000US530530723122,"Block Group 2, Census Tract 723.12, Pierce County, Washington"
1518,585,1128,566,28,37,0,12,276,211,0,12,34,53,52,80,0,12,52,80,1500000US530530723123,"Block Group 3, Census Tract 723.12, Pierce County, Washington"
1965,247,1279,250,211,168,12,15,266,118,0,12,31,46,166,149,0,12,166,149,1500000US530530723131,"Block Group 1, Census Tract 723.13, Pierce County, Washington"
1624,280,1341,240,31,32,0,12,163,133,0,12,0,12,89,77,0,12,89,77,1500000US530530723132,"Block Group 2, Census Tract 723.13, Pierce County, Washington"
1778,265,1626,268,0,12,23,29,80,111,13,22,0,12,36,36,0,12,36,36,1500000US530530724051,"Block Group 1, Census Tract 724.05, Pierce County, Washington"
2335,323,2201,312,0,12,64,60,27,23,12,19,0,12,31,32,0,12,31,32,1500000US530530724052,"Block Group 2, Census Tract 724.05, Pierce County, Washington"
2177,334,2076,332,24,36,12,18,64,66,0,12,1,2,0,12,0,12,0,12,1500000US530530724061,"Block Group 1, Census Tract 724.06, Pierce County, Washington"
1828,410,1734,413,0,12,17,27,63,79,0,12,0,12,14,23,0,12,14,23,1500000US530530724062,"Block Group 2, Census Tract 724.06, Pierce County, Washington"
2065,365,1981,365,0,12,16,25,0,12,0,12,22,34,46,52,0,12,46,52,1500000US530530724063,"Block Group 3, Census Tract 724.06, Pierce County, Washington"
1881,430,1272,407,11,16,96,142,188,190,0,12,259,343,55,72,0,12,55,72,1500000US530530724071,"Block Group 1, Census Tract 724.07, Pierce County, Washington"
1627,414,1402,408,104,128,0,12,82,64,0,12,0,12,39,42,0,12,39,42,1500000US530530724072,"Block Group 2, Census Tract 724.07, Pierce County, Washington"
1287,379,1058,339,14,24,67,110,124,194,0,12,0,12,24,40,0,12,24,40,1500000US530530724073,"Block Group 3, Census Tract 724.07, Pierce County, Washington"
1400,381,1323,408,0,12,0,12,33,38,0,12,44,72,0,12,0,12,0,12,1500000US530530724081,"Block Group 1, Census Tract 724.08, Pierce County, Washington"
2133,328,2008,331,5,11,47,50,25,27,35,54,13,29,0,12,0,12,0,12,1500000US530530724082,"Block Group 2, Census Tract 724.08, Pierce County, Washington"
1045,259,889,253,57,91,12,20,41,53,0,12,0,12,46,76,0,12,46,76,1500000US530530724083,"Block Group 3, Census Tract 724.08, Pierce County, Washington"
1431,273,1304,248,47,58,0,12,0,12,0,12,0,12,80,76,0,12,80,76,1500000US530530724084,"Block Group 4, Census Tract 724.08, Pierce County, Washington"
1433,227,1370,228,11,13,8,12,4,6,9,14,4,6,27,21,0,12,27,21,1500000US530530724091,"Block Group 1, Census Tract 724.09, Pierce County, Washington"
1139,147,1050,147,9,13,0,12,0,12,0,12,0,12,80,71,0,12,80,71,1500000US530530724092,"Block Group 2, Census Tract 724.09, Pierce County, Washington"
2043,286,1771,262,6,12,0,12,148,137,0,12,0,12,118,114,0,12,118,114,1500000US530530724101,"Block Group 1, Census Tract 724.10, Pierce County, Washington"
1688,317,1547,260,20,31,0,12,0,12,0,12,9,14,112,108,0,12,112,108,1500000US530530724102,"Block Group 2, Census Tract 724.10, Pierce County, Washington"
1617,237,1500,226,4,9,9,15,28,25,0,12,30,46,46,32,0,12,46,32,1500000US530530725031,"Block Group 1, Census Tract 725.03, Pierce County, Washington"
2834,380,2322,364,7,12,148,230,108,93,38,51,26,29,185,132,7,12,178,131,1500000US530530725032,"Block Group 2, Census Tract 725.03, Pierce County, Washington"
2138,356,1931,362,89,85,24,32,0,12,0,12,0,12,94,126,0,12,94,126,1500000US530530725041,"Block Group 1, Census Tract 725.04, Pierce County, Washington"
3104,406,2287,293,113,68,90,63,95,60,0,12,77,104,442,211,13,26,429,210,1500000US530530725042,"Block Group 2, Census Tract 725.04, Pierce County, Washington"
1240,246,1113,233,0,12,0,12,59,72,0,12,43,67,25,42,0,12,25,42,1500000US530530725051,"Block Group 1, Census Tract 725.05, Pierce County, Washington"
1494,381,1448,377,0,12,14,24,20,51,0,12,0,12,12,19,0,12,12,19,1500000US530530725052,"Block Group 2, Census Tract 725.05, Pierce County, Washington"
3054,549,2658,554,19,31,0,12,268,148,0,12,29,52,80,79,0,12,80,79,1500000US530530725053,"Block Group 3, Census Tract 725.05, Pierce County, Washington"
1275,300,1137,331,49,109,0,12,48,56,0,12,0,12,41,61,0,12,41,61,1500000US530530725054,"Block Group 4, Census Tract 725.05, Pierce County, Washington"
1008,174,934,170,18,30,0,12,0,12,0,12,0,12,56,63,0,12,56,63,1500000US530530725061,"Block Group 1, Census Tract 725.06, Pierce County, Washington"
2125,361,1847,285,40,66,1,2,160,180,1,2,5,8,71,39,0,12,71,39,1500000US530530725062,"Block Group 2, Census Tract 725.06, Pierce County, Washington"
974,254,728,209,13,23,114,127,51,60,0,12,28,33,40,38,0,12,40,38,1500000US530530725071,"Block Group 1, Census Tract 725.07, Pierce County, Washington"
1701,273,1576,281,0,12,0,12,50,43,0,12,32,40,43,42,0,12,43,42,1500000US530530725072,"Block Group 2, Census Tract 725.07, Pierce County, Washington"
2672,478,2224,468,63,77,60,54,59,81,0,12,38,35,228,175,10,17,218,174,1500000US530530726011,"Block Group 1, Census Tract 726.01, Pierce County, Washington"
1212,243,1039,210,5,10,59,61,20,23,0,12,1,2,88,103,0,12,88,103,1500000US530530726012,"Block Group 2, Census Tract 726.01, Pierce County, Washington"
1590,285,1459,273,6,9,0,12,6,12,15,24,12,20,92,96,0,12,92,96,1500000US530530726013,"Block Group 3, Census Tract 726.01, Pierce County, Washington"
982,239,955,243,0,12,0,12,0,12,7,11,0,12,20,28,0,12,20,28,1500000US530530726021,"Block Group 1, Census Tract 726.02, Pierce County, Washington"
1776,399,1697,410,0,12,0,12,2,6,0,12,0,12,77,85,0,12,77,85,1500000US530530726022,"Block Group 2, Census Tract 726.02, Pierce County, Washington"
1432,414,1383,415,0,12,0,12,13,19,0,12,8,13,28,32,0,12,28,32,1500000US530530726023,"Block Group 3, Census Tract 726.02, Pierce County, Washington"
745,272,745,272,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1500000US530530726031,"Block Group 1, Census Tract 726.03, Pierce County, Washington"
710,240,641,222,13,21,19,36,0,12,0,12,0,12,37,50,0,12,37,50,1500000US530530726032,"Block Group 2, Census Tract 726.03, Pierce County, Washington"
1053,250,1006,247,0,12,0,12,34,51,0,12,0,12,13,23,0,12,13,23,1500000US530530726033,"Block Group 3, Census Tract 726.03, Pierce County, Washington"
1826,584,1676,529,41,64,26,30,12,24,0,12,0,12,71,73,0,12,71,73,1500000US530530726034,"Block Group 4, Census Tract 726.03, Pierce County, Washington"
419,253,318,173,58,63,11,21,0,12,0,12,0,12,32,64,0,12,32,64,1500000US530530726035,"Block Group 5, Census Tract 726.03, Pierce County, Washington"
5454,529,4207,490,486,233,0,17,460,346,0,17,17,28,284,161,0,17,284,161,1500000US530530728001,"Block Group 1, Census Tract 728, Pierce County, Washington"
3738,515,2525,437,356,228,29,45,156,97,235,184,0,12,437,201,0,12,437,201,1500000US530530728002,"Block Group 2, Census Tract 728, Pierce County, Washington"
3288,295,2295,262,545,260,26,30,191,120,26,23,9,15,196,86,38,45,158,72,1500000US530530729011,"Block Group 1, Census Tract 729.01, Pierce County, Washington"
3700,482,2368,406,742,205,1,5,195,107,49,40,70,76,275,94,36,38,239,90,1500000US530530729031,"Block Group 1, Census Tract 729.03, Pierce County, Washington"
2500,417,1925,418,213,114,6,11,131,114,11,22,0,12,214,195,0,12,214,195,1500000US530530729051,"Block Group 1, Census Tract 729.05, Pierce County, Washington"
1089,364,703,260,182,189,0,12,0,12,144,131,11,16,49,63,0,12,49,63,1500000US530530729052,"Block Group 2, Census Tract 729.05, Pierce County, Washington"
2438,526,1725,535,377,389,0,12,26,35,41,51,23,38,246,173,33,51,213,173,1500000US530530729053,"Block Group 3, Census Tract 729.05, Pierce County, Washington"
1158,272,858,231,155,84,0,12,39,31,19,27,0,12,87,41,23,30,64,32,1500000US530530729061,"Block Group 1, Census Tract 729.06, Pierce County, Washington"
399,373,304,295,24,47,0,12,52,78,0,12,4,6,15,18,15,18,0,12,1500000US530530729062,"Block Group 2, Census Tract 729.06, Pierce County, Washington"
1790,458,1283,414,391,253,8,15,14,19,13,18,13,21,68,44,32,29,36,40,1500000US530530729071,"Block Group 1, Census Tract 729.07, Pierce County, Washington"
4002,659,2979,473,351,253,13,20,97,129,351,409,71,69,140,137,89,143,51,45,1500000US530530729072,"Block Group 2, Census Tract 729.07, Pierce County, Washington"
0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1500000US530530729073,"Block Group 3, Census Tract 729.07, Pierce County, Washington"
796,322,756,311,0,12,20,30,0,12,0,12,0,12,20,31,0,12,20,31,1500000US530530730011,"Block Group 1, Census Tract 730.01, Pierce County, Washington"
1530,518,1421,503,0,12,30,46,0,12,0,12,0,12,79,122,0,12,79,122,1500000US530530730012,"Block Group 2, Census Tract 730.01, Pierce County, Washington"
1839,357,1665,354,0,12,10,15,90,78,0,12,0,12,74,69,0,12,74,69,1500000US530530730013,"Block Group 3, Census Tract 730.01, Pierce County, Washington"
1016,282,936,259,0,12,58,87,0,12,0,12,0,12,22,33,0,12,22,33,1500000US530530730014,"Block Group 4, Census Tract 730.01, Pierce County, Washington"
944,222,855,210,2,5,17,15,30,28,0,12,3,5,37,23,3,5,34,23,1500000US530530730015,"Block Group 5, Census Tract 730.01, Pierce County, Washington"
887,260,834,260,27,44,26,39,0,12,0,12,0,12,0,12,0,12,0,12,1500000US530530730051,"Block Group 1, Census Tract 730.05, Pierce County, Washington"
1655,387,1580,358,0,12,0,12,0,12,0,12,0,12,75,121,0,12,75,121,1500000US530530730052,"Block Group 2, Census Tract 730.05, Pierce County, Washington"
1370,469,1177,477,0,12,39,50,0,12,0,12,60,97,94,128,0,12,94,128,1500000US530530730053,"Block Group 3, Census Tract 730.05, Pierce County, Washington"
1588,353,1282,340,19,30,0,12,15,23,48,73,0,12,224,203,0,12,224,203,1500000US530530730054,"Block Group 4, Census Tract 730.05, Pierce County, Washington"
2533,311,2457,309,0,12,32,42,37,38,0,12,0,12,7,12,0,12,7,12,1500000US530530730061,"Block Group 1, Census Tract 730.06, Pierce County, Washington"
1230,265,1112,254,0,12,0,12,0,12,0,12,60,67,58,56,0,12,58,56,1500000US530530730062,"Block Group 2, Census Tract 730.06, Pierce County, Washington"
2073,639,1777,559,88,122,0,12,16,25,0,12,159,153,33,38,0,12,33,38,1500000US530530731081,"Block Group 1, Census Tract 731.08, Pierce County, Washington"
3577,532,2452,429,256,217,0,12,168,143,0,12,19,31,682,454,245,330,437,247,1500000US530530731082,"Block Group 2, Census Tract 731.08, Pierce County, Washington"
2376,580,1318,419,208,251,37,55,151,160,161,217,19,26,482,224,61,86,421,239,1500000US530530731083,"Block Group 3, Census Tract 731.08, Pierce County, Washington"
1591,241,1499,229,11,18,0,12,68,48,0,12,0,12,13,20,0,12,13,20,1500000US530530731101,"Block Group 1, Census Tract 731.10, Pierce County, Washington"
1986,301,1690,284,27,31,42,64,95,81,0,12,13,20,119,82,0,12,119,82,1500000US530530731102,"Block Group 2, Census Tract 731.10, Pierce County, Washington"
2265,344,2039,343,18,26,0,12,79,58,0,12,18,29,111,82,0,12,111,82,1500000US530530731111,"Block Group 1, Census Tract 731.11, Pierce County, Washington"
1324,297,1170,291,16,25,15,23,0,12,0,12,80,123,43,50,0,12,43,50,1500000US530530731112,"Block Group 2, Census Tract 731.11, Pierce County, Washington"
790,224,693,222,31,43,0,12,13,16,0,12,18,30,35,48,0,12,35,48,1500000US530530731113,"Block Group 3, Census Tract 731.11, Pierce County, Washington"
1372,365,1231,360,38,49,13,25,0,12,28,38,21,36,41,49,25,42,16,25,1500000US530530731131,"Block Group 1, Census Tract 731.13, Pierce County, Washington"
2659,610,2088,547,181,169,64,67,130,110,10,23,51,83,135,122,0,12,135,122,1500000US530530731132,"Block Group 2, Census Tract 731.13, Pierce County, Washington"
2844,587,2253,425,47,54,0,12,8,15,264,291,26,41,246,180,78,136,168,125,1500000US530530731133,"Block Group 3, Census Tract 731.13, Pierce County, Washington"
2293,463,1873,363,334,326,0,12,0,12,0,12,0,12,86,76,0,12,86,76,1500000US530530731141,"Block Group 1, Census Tract 731.14, Pierce County, Washington"
1858,396,1625,368,78,86,8,13,3,8,0,12,4,6,140,99,0,12,140,99,1500000US530530731142,"Block Group 2, Census Tract 731.14, Pierce County, Washington"
1374,342,1119,313,39,37,0,12,24,28,0,12,0,12,192,155,11,18,181,143,1500000US530530731143,"Block Group 3, Census Tract 731.14, Pierce County, Washington"
2080,269,1719,288,38,25,33,38,92,64,0,12,24,38,174,82,16,18,158,81,1500000US530530731151,"Block Group 1, Census Tract 731.15, Pierce County, Washington"
1453,288,1172,248,0,12,43,51,50,53,0,12,56,85,132,93,0,12,132,93,1500000US530530731152,"Block Group 2, Census Tract 731.15, Pierce County, Washington"
597,162,556,170,0,12,0,12,0,12,0,12,21,31,20,29,0,12,20,29,1500000US530530731153,"Block Group 3, Census Tract 731.15, Pierce County, Washington"
2055,363,1773,335,64,73,36,61,94,94,1,3,0,12,87,67,0,12,87,67,1500000US530530731161,"Block Group 1, Census Tract 731.16, Pierce County, Washington"
1573,354,1352,381,0,12,32,52,29,28,0,12,42,51,118,114,0,12,118,114,1500000US530530731162,"Block Group 2, Census Tract 731.16, Pierce County, Washington"
2059,333,1809,304,62,89,132,146,18,21,0,12,13,21,25,32,0,12,25,32,1500000US530530731171,"Block Group 1, Census Tract 731.17, Pierce County, Washington"
1767,414,1752,413,15,24,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1500000US530530731172,"Block Group 2, Census Tract 731.17, Pierce County, Washington"
2025,247,1885,246,13,19,32,36,14,22,0,12,17,25,64,52,0,12,64,52,1500000US530530731181,"Block Group 1, Census Tract 731.18, Pierce County, Washington"
2244,370,2067,347,0,12,0,12,86,73,0,12,8,12,83,64,0,12,83,64,1500000US530530731182,"Block Group 2, Census Tract 731.18, Pierce County, Washington"
1116,248,1041,243,5,10,0,12,1,3,0,12,2,6,67,51,0,12,67,51,1500000US530530731191,"Block Group 1, Census Tract 731.19, Pierce County, Washington"
1849,353,1779,345,14,22,15,24,23,31,0,12,0,12,18,20,0,12,18,20,1500000US530530731192,"Block Group 2, Census Tract 731.19, Pierce County, Washington"
1960,354,1337,283,237,248,0,12,140,144,76,102,135,149,35,38,0,12,35,38,1500000US530530731201,"Block Group 1, Census Tract 731.20, Pierce County, Washington"
2178,433,1662,364,159,246,12,19,134,97,0,12,11,16,200,151,0,12,200,151,1500000US530530731202,"Block Group 2, Census Tract 731.20, Pierce County, Washington"
2433,404,1956,367,61,98,35,41,68,65,0,12,0,12,313,310,0,12,313,310,1500000US530530731211,"Block Group 1, Census Tract 731.21, Pierce County, Washington"
2376,349,1974,329,59,65,39,48,113,75,51,85,6,10,134,104,1,11,133,98,1500000US530530731212,"Block Group 2, Census Tract 731.21, Pierce County, Washington"
1703,323,1261,240,76,85,55,84,93,72,43,58,0,12,175,110,7,11,168,110,1500000US530530731221,"Block Group 1, Census Tract 731.22, Pierce County, Washington"
2743,318,2059,288,153,105,44,51,141,98,20,35,78,112,248,135,0,12,248,135,1500000US530530731222,"Block Group 2, Census Tract 731.22, Pierce County, Washington"
3256,363,2149,292,190,173,0,12,408,254,78,139,153,234,278,167,0,12,278,167,1500000US530530731231,"Block Group 1, Census Tract 731.23, Pierce County, Washington"
1850,456,1549,398,22,34,0,12,66,49,0,12,61,94,152,121,0,12,152,121,1500000US530530731232,"Block Group 2, Census Tract 731.23, Pierce County, Washington"
1130,297,1032,280,0,12,7,11,9,14,0,12,0,12,82,86,0,12,82,86,1500000US530530731241,"Block Group 1, Census Tract 731.24, Pierce County, Washington"
2625,445,2269,432,0,12,45,58,56,46,0,12,0,12,255,179,0,12,255,179,1500000US530530731242,"Block Group 2, Census Tract 731.24, Pierce County, Washington"
4127,665,3279,591,235,146,144,178,170,106,0,12,38,63,261,196,0,12,261,196,1500000US530530731251,"Block Group 1, Census Tract 731.25, Pierce County, Washington"
1762,600,1595,632,0,12,40,69,34,39,0,12,38,68,55,59,0,12,55,59,1500000US530530731252,"Block Group 2, Census Tract 731.25, Pierce County, Washington"
3652,593,2760,503,458,261,0,12,76,62,0,12,162,153,196,180,38,64,158,161,1500000US530530731253,"Block Group 3, Census Tract 731.25, Pierce County, Washington"
4158,403,2550,456,485,206,157,160,330,131,18,28,38,48,580,321,0,12,580,321,1500000US530530731261,"Block Group 1, Census Tract 731.26, Pierce County, Washington"
1231,211,1203,213,0,12,0,12,8,14,0,12,0,12,20,25,0,12,20,25,1500000US530530732001,"Block Group 1, Census Tract 732, Pierce County, Washington"
1014,372,953,376,5,8,0,12,55,87,0,12,1,3,0,12,0,12,0,12,1500000US530530732002,"Block Group 2, Census Tract 732, Pierce County, Washington"
1241,318,1241,318,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1500000US530530732003,"Block Group 3, Census Tract 732, Pierce County, Washington"
2369,400,2222,411,1,3,9,14,34,55,0,12,0,12,103,124,0,12,103,124,1500000US530530732004,"Block Group 4, Census Tract 732, Pierce County, Washington"
3596,470,2970,552,75,78,39,40,105,85,0,12,0,12,407,274,0,12,407,274,1500000US530530733011,"Block Group 1, Census Tract 733.01, Pierce County, Washington"
781,236,686,231,0,12,0,12,27,48,0,12,0,12,68,74,0,12,68,74,1500000US530530733012,"Block Group 2, Census Tract 733.01, Pierce County, Washington"
198,89,198,89,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1500000US530530733013,"Block Group 3, Census Tract 733.01, Pierce County, Washington"
1309,525,1124,485,0,12,0,12,0,12,0,12,0,12,185,121,0,12,185,121,1500000US530530733014,"Block Group 4, Census Tract 733.01, Pierce County, Washington"
1361,247,1213,223,9,14,0,12,0,12,0,12,30,48,109,109,0,12,109,109,1500000US530530733021,"Block Group 1, Census Tract 733.02, Pierce County, Washington"
1283,223,1121,225,0,12,4,8,75,97,0,12,6,11,77,56,0,12,77,56,1500000US530530733022,"Block Group 2, Census Tract 733.02, Pierce County, Washington"
