OBJECTID,PropertyID,ParkType,ParkClass,Address,PostalCity,ZIPCode,Owner,Manager,ParkHours,AcresImproved,AcresUnimproved,ParkWebLink,IsPublicAccessible,Maplabel,GISAcres,Name,AltWebLink,RESTROOM,ADACOMPLY,PARKING,PAVED_TRAIL,UNPAVED_TRAIL,TRAILHEAD,COMMUNITY_CENTER,PICNIC,PLAYGROUND,DOG_PARK,BASEBALL,BASKETBALL,MULTIPURPOSE,GOLF,BEACH,FISHING,BOAT_LAUNCH,SKATE,TENNIS,BMX,CLIMBING,EQUESTRIAN,DISC_GOLF,ICE_RINK,QTR_MIDGET_TRACK,PARKSIZE,DESCRIPTION,VisibleInApp,Camping,SHAPE_Length,SHAPE_Area
89,169,Community Center,County,14422 Meridian East,Puyallup,98375,Pierce County,Pierce County Parks and Recreation Services,Hours vary call Cara at 253-841-8515,31.75,0,https://www.co.pierce.wa.us/1329/Meridian-Habitat-Park-Community-Center,1,Meridian Habitat Park,36.39038688,Meridian Habitat Park, ,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,35.67,"Known to locals as the Amphitheatre, Meridian Habitat Park is a 36-acre park that includes a community center, nature playground, dog park, amphitheater, walking paths, and a variety of wildlife habitat.",Yes, ,5186.41080181401,1585158.91666247
92,173,Wildlife Habitat,Resource Conservancy,Chambers Street & Beech Street,Steilacoom,98388,Town of Steilacoom,Town of Steilacoom,Dawn to Dusk,0,64,http://www.townofsteilacoom.com/activities/parks_recreation.htm#farrells_marsh,1,Farrells Marsh Park,60.33764245,Farrells Marsh Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,6806.17742146358,2628297.19221768
93,174,Park,Local,502 South 88TH Street,Tacoma,98444,City of Tacoma,Metro Parks Tacoma,Dawn to Dusk,2.02,0,http://www.metroparkstacoma.org/fern-hill-park,1,Fern Hill,2.00509598,Fern Hill, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,1394.9088274754,87341.6384189497
94,176,Community Center,Special Use,2111 54th Avenue E,Fife,98424,City of Fife,City of Fife,"M-F, 8:30am-5:00pm",0.6543,0,http://cityoffife.org/?p=city_departments&a=parks_and_recreation,1,Fife Community Center,0.65371032,Fife Community Center, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,774.970630720931,28475.5121926184
95,178,Rec Center,Special Use,5410 20th Street E,Fife,98424,City of Fife,City of Fife,"M-F, 6AM-9PMSat, 10AM-3PM",1.36,0,http://cityoffife.org/?p=city_departments&a=parks_and_recreation&b=fife_swim_center,1,Fife Swim Center,2.0778925,Fife Swim Center, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,1371.87289415404,90512.6493530338
96,179,Park,Local,471 Electron Way,Tacoma,98466,City of Fircrest,City of Fircrest,Dawn to Dusk (unless otherwise posted),7.35,0, ,1,Fircrest Park,7.64503054,Fircrest Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,2768.15933168519,333010.74129178
97,180,Park,Local,120 Ramsdell St,Fircrest,98466,City of Fircrest,City of Fircrest,Dawn to Dusk,0,1.07, ,1,Fircrest Tot Lot,1.05400972,Fircrest Tot Lot, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,1255.03823942478,45918.9659454268
98,182,Park,Local,803 A Street,Tacoma,98402,City of Tacoma,Metro Parks Tacoma,Dawn to Dusk,1.79,0,http://www.metroparkstacoma.org/firemans-park,1,Fireman's Park- Metro,1.53174846,Fireman's Park ( Metro ), , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,2056.69127782558,66742.535932874
101,188,Park,Local,2001 54th Avenue,Fife,98424,City of Fife,City of Fife,Dawn to Dusk,0.7713,0, ,1,Fountain Memorial Park,0.81348867,Fountain Memorial Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,760.025127464022,35435.4247869686
102,189,Park,Local,1201 Puget Sound,Tacoma,98405,City of Tacoma,Metro Parks Tacoma,Dawn to Dusk,23.08,0,http://www.metroparkstacoma.org/franklin-park,1,Franklin Park,19.91144975,Franklin Park,http://www.metroparkstacoma.org/page.php?id=660, , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,5051.14589378279,867339.279356988
103,190,Park,Local,400 North Borough Road,Tacoma,98403,City of Tacoma,Metro Parks Tacoma,Dawn to Dusk,12.6,0,http://www.metroparkstacoma.org/garfield-park,1,Garfield Park,11.46342626,Garfield Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,4708.70858938579,499310.217672708
104,191,Park,Local,525 SR 161 South,Eatonville,98328,Town of Eatonville,Town of Eatonville,Dawn to Dusk,39.98,0,http://www.eatonville-wa.gov/smallwood,1,George Smallwood Park,15.51620599,George Smallwood Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,6226.96697929142,675850.786969084
105,192,Park,Undeveloped Sites,3488 Grandview St,Gig Harbor,98332,City of Gig Harbor,City of Gig Harbor,Dawn to Dusk,0,9.57,http://www.cityofgigharbor.net/page.php?id=699,1,Grandview Forest Park,9.61191904,Grandview Forest Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,2589.2063941387,418693.470153277
106,193,Park,Local,3303 Vernhardson St,Gig Harbor,98332,City of Gig Harbor,City of Gig Harbor,Dawn to Dusk,5.84,0,http://www.cityofgigharbor.net/page.php?id=699,1,City Park at Crescent Creek,5.95209335,City Park at Crescent Creek, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,2421.09922649459,259272.123037942
107,194,Park,Local,209 Fir Avenue North,Eatonville,98328,Town of Eatonville,Town of Eatonville,Dawn to Dusk,1.56,0,http://www.eatonville-wa.gov/glacier,1,Glacier View Park,1.6076852,Glacier View Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,2135.17901838955,70030.5011677085
108,195,Park,Local,601 North Meridian,Puyallup,98372,City of Puyallup,City of Puyallup,8 am to Dusk,2.3383,0,http://www.cityofpuyallup.org/services/parks-recreation/city-puyallup-parks/grayland-park/,1,Grayland Park,2.35927162,Grayland Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,1384.53858863846,102769.449211366
109,197,Park,Local,2321 Ruston Way,Tacoma,98407,City of Tacoma,Metro Parks Tacoma,Dawn to Dusk,3.14,0,http://www.metroparkstacoma.org/hamilton-park,1,Hamilton Park,2.38476833,Hamilton Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,1323.38352645049,103880.098775363
110,198,Beach,Unclassified,Goodrich Dr NW and SR 302,Purdy,98329,Pierce County,Pierce County Parks and Recreation Services,Dawn to Dusk,0,7.5,https://www.co.pierce.wa.us/3947/Purdy-Sand-Spit,1,Purdy Sand Spit,67.39233489,Purdy Sand Spit, ,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,63.97,The Purdy Sand Spit is an unimproved waterfront public area that runs right along SR 302. Its 7.5 acres includes a boat launch. A great place to see waterfowl such as sea gulls and blue heron.,Yes, ,17690.2092425034,2935604.07401058
111,200,Park,Local,8928 N Thorne Ln SW,Lakewood,98498,City of Lakewood,City of Lakewood,"7:30am - 9:00pm or sunset, whichever comes first",17,0,http://www.cityoflakewood.us/government/departments/parks-and-recreation/lakewood-parks,1,Harry Todd Park,17.11935225,Harry Todd Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,4343.48366171401,745621.243936144
112,201,Park,Local,1902 S Tyler St,Tacoma,98405,City of Tacoma,Metro Parks Tacoma,Dawn to Dusk | Special arrangement can be made for leagues.,22.28,0,http://www.metroparkstacoma.org/heidelberg-davis-athletic-complex,1,Heidelberg Davis Park,34.47449886,Heidelberg Davis Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,9052.85411365181,1501709.32378659
113,203,Park,Local,600 19th Av,Milton,98354,City of Milton,City of Milton,Dawn to Dusk (unless otherwise posted),1.8905,0,http://www.cityofmilton.net/page.php?id=95,1,Hill Tower Park,1.88126477,Hill Tower Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,1147.49544176683,81947.5601826392
114,205,Park,Local,3761 Bridgeport Way West,University Place,98466,City of University Place,City of University Place,Dawn to Dusk,4.88,0,http://cityofup.com/Media/file/ParksAndRec/Park%20location_descript%202011.pdf,1,Homestead Park,4.92039164,Homestead Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,2696.87810718837,214355.213266817
115,206,Trail,Linear Park,12TH ST E,Tacoma,98424,City of Milton,City of Milton,Dawn to Dusk (unless otherwise posted),0,12.16,http://cityofmilton.net/page.php?id=96,1,Interurban Trail - Milton,17.35956949,Interurban Trail - Milton, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,15962.8146824398,756427.621954402
116,207,Park,Resource Conservancy,6125 8th St E,Fife,98424,City of Fife,City of Fife,Dawn to Dusk (unless otherwise posted),0,16.41, ,1,Hylebos Nature Area,16.71020481,Hylebos Nature Area, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,4379.45446071683,727833.356601671
117,208,Trail,Linear Park,508 7th Ave,Milton,98354,City of Milton,City of Milton,Dawn to Dusk (unless otherwise posted),0,6.84,http://www.cityofmilton.net/page.php?id=96,1,Interurban Trail - Hylebos Overlook,6.83617918,Interurban Trail - Hylebos Overlook, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,2457.43851495367,297782.822830215
118,209,Trail,Linear Park,11409 Jovita Blvd E,Edgewood,98372,City of Edgewood,City of Edgewood,Dawn to Dusk (unless otherwise posted),0,1.4472, ,1,Interurban Trail - Edgewood,22.10668951,Interurban Trail - Edgewood, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,19747.4942867359,962883.274978538
119,210,Park,Local,1902 S 25th St,Tacoma,98405,City of Tacoma,Metro Parks Tacoma,Dawn to Dusk,4.318,0,http://www.metroparkstacoma.org/irving-park,1,Irving Park,4.31746877,Irving Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,2453.00529709281,188108.451348509
120,212,Park,Local,1743 N Schuster Pkwy,Tacoma,98402,City of Tacoma,Metro Parks Tacoma,Dawn to Dusk,11.56,0,http://www.metroparkstacoma.org/jack-hyde-park,1,Jack Hyde Park on Commencement Bay,11.01022331,Jack Hyde Park on Commencement Bay, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,5102.00499452787,479654.10870064
121,213,Park,Local,4825 N 39th St,Tacoma,98407,City of Tacoma,Metro Parks Tacoma,Dawn to Dusk,6.3593,0,http://www.metroparkstacoma.org/jane-clark-park,1,Jane Clark Park,6.42564622,Jane Clark Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,2266.34992531965,279900.059243765
122,214,Park,Local,801 N Mason Ave,Tacoma,98406,City of Tacoma,Metro Parks Tacoma,Dawn to Dusk,14.2,0,http://www.metroparkstacoma.org/jefferson-park,1,Jefferson Park,13.76316102,Jefferson Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,3517.45267622081,599520.880950871
123,215,Pier,Local,3207 HARBORVIEW DR,Gig Harbor,98335,City of Gig Harbor,City of Gig Harbor,Dawn to Dusk (unless otherwise posted),14.2,0,http://www.cityofgigharbor.net/page.php?id=699,1,Jerisich Dock & Skansie Brothers Park,2.1391134,Jerisich Dock & Skansie Brothers Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,2026.42551829466,93179.4257423213
124,216,Park,Regional,30TH ST KS,Lakebay,98349,State of Washington,Washington State Parks,Summer: 8 a.m. to 9:30 p.m. | Winter: 8 a.m. to 6:30 p.m.,0,122,http://www.parks.wa.gov/parks/?selectedpark=Joemma%20Beach&subject=all,1,Joemma Beach State Park,119.81843816,Joemma Beach State Park, ,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,160,"Set on Key Peninsula in the middle of South Puget Sound, Joemma Beach is a quick boat ride or a beautiful drive from Olympia, Tacoma and the shoreline communities in between.",no,Yes,12548.4779367821,5219270.3243069
125,217,Park,Local,2323 N Shirley St,Tacoma,98407,City of Tacoma,Metro Parks Tacoma,Dawn to Dusk,10.6,0,http://www.metroparkstacoma.org/kandlepark,1,Kandle Playfield and Park,10.57087835,Kandle Playfield and Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,2716.83860551134,460465.596292078
126,218,Park,Local,6002 Fairlawn Drive SW,Lakewood,98499,City of Lakewood,City of Lakewood,"7:30am - 9:00pm or sunset, whichever comes first",0,2.99,http://www.cityoflakewood.us/government/departments/parks-and-recreation/lakewood-parks,1,Kiwanis Park,2.96837212,Kiwanis Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,1581.92552934752,129239.18591355
127,219,Park,Resource Conservancy,6420 Chambers Creek Rd W,University Place,98467,City of University Place,City of University Place,Dawn to Dusk (unless otherwise posted),5.53,0,http://cityofup.com/Media/file/ParksAndRec/WHERE%20ARE%20OUR%20PARKS%202011.pdf,1,Kobayashi Park,5.64226355,Kobayashi Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,2303.25884349384,245774.171509171
128,220,Park,Resource Conservancy,11101 56TH ST NW,Gig Harbor,98335,State of Washington,Washington State Parks,"Summer: 8 a.m. to dusk. | Winter: 8 a.m. to dusk; day use only.",0,109,http://www.parks.wa.gov/parks/?selectedpark=Kopachuck&subject=all,1,Kopachuck State Park,103.89755233,Kopachuck State Park, ,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,280,"Snug in the curve of Carr Inlet a half-hour from Tacoma, Kopachuck State Park is an easy jaunt from South Puget Sound and the Kitsap Peninsula, and a lovely stop on an outing to Gig Harbor.",no,No,15404.5817305751,4525775.97364776
129,221,Park,Local,702 Calistoga St W,Orting,98360,City of Orting,City of Orting,Dawn to Dusk (unless otherwise posted),7.931607,0, ,1,Calistoga Place Park,6.46910601,Calistoga Place Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,3063.54489198938,281804.969717947
130,223,Playfield,Local,2102 S 14th St,Tacoma,98405,City of Tacoma,Metro Parks Tacoma,Dawn to Dusk,9.4,0,http://www.metroparkstacoma.org/peck-field,1,Peck Field,9.18795377,Peck Field, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,4282.98390559287,400195.661200298
131,224,Park,Regional,321 158th Avenue KPS,Lakebay,98349,State of Washington,Washington State Parks,Summer: 8 a.m. to dusk. | Winter: Day-use area is open 8 a.m. to dusk,149.68504,0,http://www.parks.wa.gov/parks/?selectedpark=Penrose%20Point&subject=all,1,Penrose Point State Park,160.18117797,Penrose Point State Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,22513.5973664007,6977464.11478177
132,225,Rec Center,Local,1602 Martin Luther King Jr Way,Tacoma,98405,City of Tacoma,Metro Parks Tacoma,Hours vary - see www.metroparkstacoma.org,0.6342,0,http://www.metroparkstacoma.org/page.php?id=48,1,People's Neighborhood Resource Center,1.6464625,People's Neighborhood Resource Center, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,1159.76103388233,71719.610107262
133,226,Park,Local,900 S K ST,Tacoma,98405,City of Tacoma,Metro Parks Tacoma,Dawn to Dusk,2,0,http://www.metroparkstacoma.org/peoples-park,1,Peoples Park,1.68717792,Peoples Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,1159.96485722025,73493.163171056
134,228,Park,Local,324 South Meridian,Puyallup,98371,City of Puyallup,City of Puyallup,May 1-Sep 30 - 6 am - 10 pmOct 1-Apr 30 - 6 am - 8 pm,2,0,http://www.cityofpuyallup.org/services/parks-recreation/city-puyallup-parks/pioneer-park/,1,Pioneer Park,3.17387323,Pioneer Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,1543.40509301393,138253.378951673
135,229,Park,Regional,5400 N Pearl St,Tacoma,98407,City of Tacoma,Metro Parks Tacoma,Dawn to Dusk,647.858,0,http://www.metroparkstacoma.org/point-defiance-park,1,Point Defiance,732.91572357,Point Defiance, ,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,760,"This 760-acre park is a popular destination for more than 3.1 million people each year. Natural forest, saltwater beaches and spectacular views offer numerous possibilities for recreation, education and communing with nature.",no,No,30125.2451384331,31925681.2591953
136,230,Park,Local,3513 Portland Ave,Tacoma,98404,City of Tacoma,Metro Parks Tacoma,Dawn to Dusk | Center hours vary,14.3,0,http://www.metroparkstacoma.org/portland-avenue-park,1,Portland Avenue Park & Community Center,13.87404363,Portland Avenue Park & Community Center, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,3159.17285143921,604350.890759541
137,232,Playground,Local,S 23rd St At S J St,Tacoma,98405,Tacoma School District,Metro Parks Tacoma,Dawn to Dusk,2.07,0,http://www.metroparkstacoma.org/mccarver-park,1,McCarver Park,5.85042662,McCarver Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,2479.90013509968,254843.569034139
138,234,Park,Local,900 Upper Park St. E,Tacoma,98404,City of Tacoma,Metro Parks Tacoma,Dawn to Dusk,0,24.79,http://www.metroparkstacoma.org/mckinley-park,1,McKinley Park,24.6367473,McKinley Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,5100.54786920369,1073172.42382014
139,235,Playfield,Local,4329 McKinley Ave,Tacoma,98404,City of Tacoma,Metro Parks Tacoma,Dawn to Dusk,5.198,0,http://www.metroparkstacoma.org/mckinley-playfield,1,McKinley Playfield,5.18122936,McKinley Playfield, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,2002.42700647186,225693.43881413
140,236,Golf,Special Use,7108 Lakewood Dr W,Tacoma,98467,City of Tacoma,Metro Parks Tacoma,Dawn to Dusk,143,0,http://www.metroparkstacoma.org/meadow-park-golf-course,1,Meadow Park Golf Course,145.54982043,Meadow Park Golf Course, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,11794.3592003942,6340101.76938045
141,242,Railroad,Linear Park,349 Mineral Creek Rd,Mineral,98355,Mount Rainier Scenic Railroad,Mount Rainier Scenic Railroad,Check our Website for hours of operation and special events.WWW.MRSR.COM,66,0,http://www.mrsr.com/index.html,1,Mount Rainier Scenic Railroad,66.66151393,Mount Rainier Scenic Railroad, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,60150.1404999975,2903667.31613735
142,244,Park,Private,12317 Gravelly Lake Dr SW,Lakewood,98499,Friends of Lakewold,Friends of Lakewold,See website,6.5098,0,http://www.lakewoldgardens.org/general_information.html,1,Lakewold Gardens,9.66314635,Lakewold Gardens, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,2672.7518945771,420924.967924003
144,247,Park,Resource Conservancy,Alameda Ave W At Cirque Dr W,University Place,98467,City of University Place,City of University Place,Currently undeveloped,0,17.15,http://cityofup.com/Media/file/ParksAndRec/Park%20location_descript%202011.pdf,1,Leach Creek Park,19.5307323,Leach Creek Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,11384.8816102411,850842.862792617
145,248,Park,Local,3690 South Steele Street,Tacoma,98409,City of Tacoma,Metro Parks Tacoma,Dawn to Dusk,3,0,http://www.metroparkstacoma.org/lincoln-heights-park,1,Lincoln Heights,3.00893784,Lincoln Heights, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,1679.67899987764,130995.382878968
146,249,Park,Local,S 37th St At S Thompson Ave,Tacoma,98418,City of Tacoma,Metro Parks Tacoma,Dawn to Dusk,0,9.75,http://www.metroparkstacoma.org/lincoln-park,1,Lincoln Park,9.74695612,Lincoln Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,4026.62431674973,424575.176461649
147,250,Park,Regional,10311 Chambers Creek Rd W,University Place,98467,Pierce County,Pierce County Parks and Recreation Services,Dawn to Dusk,0,41,http://www.co.pierce.wa.us/1363/Chambers-Creek-Regional-Park,1,Chambers Creek Regional Park,92.38204746,Chambers Creek Regional Park, ,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,185,"This is part of the Chambers Creek Regional Park complex, which includes 730-acres of park, golf course and canyon trails. The parks includes includes over two miles of saltwater shoreline and breathtaking mountain and Puget Sound views.",Yes, ,49206.1099937923,7850030.38714967
148,252,Park,Local,1216 S I ST,Tacoma,98405,City of Tacoma,Metro Parks Tacoma,Dawn to Dusk,0.2417,0,http://www.metroparkstacoma.org/lots-for-tots,1,Lot For Tots,0.24210683,Lot For Tots, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,422.423334486298,10546.1182279068
149,253,Park,Local,9717 114TH AV AI,Anderson Island,98303,Anderson Island Park District,Anderson Island Park District,7 am to 10:30 pm,6.56,0,http://www.andersonislandparks.org/Lowell_Johnson_Park.html,1,Lowell Johnson Park,6.48124509,Lowell Johnson Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,2348.00937116007,282281.621894327
150,254,Park,Local,1300 Park Street,Sumner,98390,City of Sumner,City of Sumner,8 am to 10 pm,2.64,0,http://www.ci.sumner.wa.us/Living/Loyalty_Park.htm,1,Loyalty Park,2.6595059,Loyalty Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,1605.69660412295,115847.602605043
151,256,Community Center,Local,4806 South 66th Street,Tacoma,98409,City of Tacoma,Metro Parks Tacoma,Hours vary see website,2.3998,0,http://www.metroparkstacoma.org/page.php?id=803,1,Manitou Community and Art Center,2.39595904,Manitou Community and Art Center,http://www.metroparkstacoma.org/page.php?id=671, , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,1339.81492220084,104367.567954123
152,257,Park,Local,4421 American Lake Blvd,Tacoma,98409,City of Tacoma,Metro Parks Tacoma,Dawn to Dusk,6.846,0,http://www.metroparkstacoma.org/manitou-park,1,Manitou Park,6.8523719,Manitou Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,2189.63289420429,298488.13432577
153,258,Park,Local,2310 Manorwood Dr,Puyallup,98374,City of Puyallup,City of Puyallup,8 am to Dusk,6.6,0,http://www.cityofpuyallup.org/services/parks-recreation/city-puyallup-parks/manorwood-park/,1,Manorwood Park,6.38280055,Manorwood Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,2280.94294565838,278033.680601958
154,259,Park,Local,3427 Ruston Way,Tacoma,98402,City of Tacoma,Metro Parks Tacoma,Dawn to Dusk (Pier is open 24 hours),7.02,0,http://www.metroparkstacoma.org/marine-park,1,Marine Park / Les Davis Pier,4.98510117,Marine Park / Les Davis Pier, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,4083.92057299124,217150.147901112
155,262,Park,Local,719 San Juan Wy,Fircrest,98466,City of Fircrest,City of Fircrest,Dawn to Dusk (unless otherwise posted),0.8635,0, ,1,Masko Park,0.80979965,Masko Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,867.991632603662,35281.1507312091
158,266,Wildlife Habitat,Resource Conservancy,17301 38th Ave Ct E,Frederickson,98446,Pierce County,Pierce County Parks and Recreation Services,Dawn to Dusk,17,20,https://www.piercecountywa.gov/1399/Naches-Trail-Preserve,1,Naches Trail Preserve,37.55,Naches Trail Preserve, ,n,y,y,n,y,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,37.55, ,Yes,no,7110.63129501914,1618254.30934966
159,267,Park,Local,S 8th & I St,Tacoma,98405,City of Tacoma,Metro Parks Tacoma,Dawn to Dusk,0.606,0,http://www.metroparkstacoma.org/neighbors-park,1,Neighbors Park,0.60643949,Neighbors Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,745.109584582388,26416.4004711909
160,268,Wildlife Habitat,Local,2228 118th Ave E,Edgewood,98372,City of Edgewood,City of Edgewood,Dawn to Dusk,0,12.51,http://www.cityofedgewood.org/depts/parks/parks.htm,1,Nelson Nature Park,11.52039899,Nelson Nature Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,2950.36112173201,501826.549529126
161,269,Wildlife Habitat,Local,11912 18th St E,Edgewood,98372,City of Edgewood,City of Edgewood,Dawn to Dusk (unless otherwise posted),10,0,http://www.cityofedgewood.org/depts/parks/parks.htm,1,Nelson Farm Park,9.0479174,Nelson Farm Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,2538.9135710942,394125.695503835
162,270,Community Center,Special Use,690 9th Ave,Fox Island,98333,Fox Island Comunity and Recreation Association,Fox Island Comunity and Recreation Association,Call JJ Bland at 253-228-8161.,4.93,0,http://www.ficra.org/nichols-community-center.htm,1,Nichols Community Center,5.0156528,Nichols Community Center, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,1980.10393777366,218480.978828725
164,272,Park,Local,1015 N 8th St,Tacoma,98403,City of Tacoma,Metro Parks Tacoma,Dawn to Dusk,0.1607,0,http://www.metroparkstacoma.org/north-slope-historic-d,1,North Slope Historic District Park,0.14232033,North Slope Historic District Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,323.945659265363,6199.45027658412
165,273,Park,Local,5520 29th St NE,Tacoma,98422,City of Tacoma,Metro Parks Tacoma,Dawn to Dusk,3.8545,0,http://www.metroparkstacoma.org/northeast-tacoma-playground,1,Northeast Tacoma Playground,3.85541484,Northeast Tacoma Playground, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,1728.49967161675,167941.211550887
166,274,Park,Regional,11610 Trek Dr. E,Eatonville,98328,City of Tacoma,Metro Parks Tacoma,Check website for hours,615,98,http://www.nwtrek.org/,1,Northwest Trek Wildlife Park,705.44495788,Northwest Trek Wildlife Park, ,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,"Since 1975, Northwest Trek Wildlife Park has been the best place to see native Northwest wildlife.",Yes,No,29018.3158868366,30728928.7037082
167,276,Park,Undeveloped Sites,7633 S Montgomery St.,Tacoma,98409,City of Tacoma,Metro Parks Tacoma,Dawn to Dusk,24.55,0,http://www.metroparkstacoma.org/oak-tree-park,1,Oak Tree Park,25.23161816,Oak Tree Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,4871.74733852539,930150.429510507
168,277,Park,Local,9701 Onyx DR SW,Lakewood,98498,City of Lakewood,City of Lakewood,"7:30am - 9:00pm or sunset, whichever comes first",1.548,0,http://www.cityoflakewood.us/government/departments/parks-and-recreation/lakewood-parks,1,Oakbrook Park,1.54815726,Oakbrook Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,1072.1160076316,67447.5180421312
169,278,Park,Local,3114 S Madison St.,Tacoma,98409,City of Tacoma,Metro Parks Tacoma,Dawn to Dusk,2.82,0,http://www.metroparkstacoma.org/oakland-madrona-park,1,Oakland - Madrona Park,2.83337656,Oakland - Madrona Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,1982.0674238857,123405.948972487
